,Q2,Q3,Q4,Q6,Q7,Q48,Q49,Q52,Q86,Q87,Q88,Q89,AA,White,Asian,Other,HispY,HispN,DisY,DisN,Under40,Over40,NonSuper,Super,-10YearsFed,11-20YearsFed,+20Fed,Male,Female,Mil,NoMil,dbl_needs_not_met,Outcome
16457,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
16458,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1
16459,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
16460,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
16461,2.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
16462,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
16463,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
16464,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
16466,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
16468,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
16469,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
16470,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16471,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
16472,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1
16473,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1
16475,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
16476,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
16477,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
16478,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
16479,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
16480,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
16481,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
16482,2.0,2.0,2.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0
16483,3.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
16484,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
16485,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16486,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
16487,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1
16488,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
16489,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
16490,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
16491,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1
16492,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
16493,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0
16494,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
16495,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
16496,4.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
16497,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
16498,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
16499,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1
16500,1.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,5.0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1
